3M Co.	St. Paul, MN	100.0	nan	100.0	100.0	+	nan
A.T. Kearney Inc.	Chicago, IL	nan	nan	100.0	80.0	nan	nan
AAA Northern California, Nevada and	nan	nan	nan	nan	nan	nan	nan
nan	San Francisco, CA	nan	nan	100.0	100.0	nan	nan
Utah	nan	nan	nan	nan	nan	nan	Headquarters
Abbott Laboratories	Abbott Park, IL	96.0	nan	80.0	80.0	nan	Location
Abercrombie & Fitch Co.	New Albany, OH	578.0	nan	100.0	100.0	nan	nan
Accenture Ltd.	New York, NY	nan	nan	100.0	100.0	nan	nan
Acer Inc.	Irvine, CA	nan	nan	50.0	50.0	nan	nan
Adecco North America LLC	Melville, NY	nan	nan	85.0	85.0	nan	nan
Adobe Systems Inc.	San Jose, CA	651.0	nan	95.0	95.0	nan	2008 Fortune 1000
Advanced Micro Devices Inc.	Sunnyvale, CA	406.0	nan	75.0	80.0	nan	2008 Forbes 200
AEGON USA Inc.	Cedar Rapids, IA	nan	nan	40.0	40.0	nan	2008 AmLaw 200
Aetna Inc.	Hartford, CT	85.0	nan	100.0	100.0	+	nan
Affiliated Computer Services Inc.	Dallas, TX	423.0	nan	60.0	60.0	nan	2010 CEI Rating
Agilent Technologies Inc.	Santa Clara, CA	443.0	nan	100.0	100.0	nan	nan
nan	nan	nan	nan	nan	nan	nan	2009 CEI Rating
Ahold USA Inc.	Quincy, MA	nan	nan	78.0	78.0	nan	nan
Air Products & Chemicals Inc.	Allentown, PA	258.0	nan	75.0	75.0	nan	nan
1bAkin, Gump, Strauss, Hauer & Feld LLP	Washington, DC	nan	29.0	100.0	100.0	nan	nan
Alaska Air Group Inc.	Seattle, WA	599.0	nan	100.0	100.0	nan	2a
Alcatel-Lucent	Murray Hill, NJ	nan	nan	100.0	100.0	+	2b
Alcoa Inc.	New York, NY	80.0	nan	100.0	85.0	nan	nan
Allegheny Energy Inc.	Greensburg, PA	623.0	nan	45.0	45.0	nan	nan
Alliant Energy Corp.	Madison, WI	607.0	nan	80.0	85.0	nan	nan
3bAlliant Techsystems Inc.	Edina, MN	594.0	nan	65.0	65.0	nan	nan
Allianz Life Insurance Co. of North	nan	nan	nan	nan	nan	nan	3c
nan	Minneapolis, MN	nan	nan	100.0	100.0	nan	nan
America	nan	nan	nan	nan	nan	nan	nan
Allstate Corp., The	Northbrook, IL	64.0	nan	100.0	100.0	nan	nan
Alston & Bird LLP	Atlanta, GA	nan	54.0	100.0	100.0	nan	5
Amazon.com Inc.	Seattle, WA	171.0	nan	95.0	80.0	nan	6
AMC Entertainment Inc.	Kansas City, MO	783.0	166.0	100.0	63.0	nan	nan
Ameren Corp.	St. Louis, MO	329.0	nan	70.0	45.0	nan	nan
American Express Co.	New York, NY	75.0	nan	100.0	100.0	+	nan
American Family Insurance Group	Madison, WI	352.0	nan	88.0	95.0	nan	nan
Ameriprise Financial Inc.	Minneapolis, MN	296.0	nan	100.0	100.0	+	nan
Amgen Inc.	Thousand Oaks, CA	173.0	nan	70.0	70.0	nan	nan
AMR Corp. (American Airlines)	Fort Worth, TX	109.0	nan	100.0	100.0	nan	nan
AmTrust Bank	Cleveland, OH	nan	nan	83.0	83.0	nan	nan
Andrews Kurth LLP	Houston, TX	nan	107.0	70.0	70.0	nan	nan
Anheuser-Busch Companies Inc.	St. Louis, MO	149.0	nan	100.0	100.0	nan	nan
Texas Instruments Inc.	Dallas, TX	185.0	nan	nan	100.0	100.0	nan	nan
Thompson Coburn LLP	St. Louis, MO	nan	nan	167.0	100.0	100.0	nan	nan
Thomson Reuters	New York, NY	nan	nan	nan	75.0	95.0	nan	Headquarters
Tiffany & Co.	New York, NY	676.0	nan	nan	73.0	68.0	nan	nan
Time Warner Inc.	New York, NY	49.0	nan	nan	100.0	100.0	nan	nan
TJX Companies, Inc., The	Framingham, MA	132.0	nan	nan	100.0	100.0	nan	nan
Toyota Financial Services Corp.	Torrance, CA	nan	nan	nan	100.0	100.0	nan	nan
Toyota Motor Sales USA Inc.	Torrance, CA	nan	nan	nan	100.0	100.0	nan	nan
nan	nan	nan	nan	nan	nan	nan	nan	2008 Fortune 1000
Toys R Us Inc.	Wayne, NJ	189.0	17.0	nan	70.0	65.0	nan	nan
Travel Impressions Ltd.	Farmingdale, NY	nan	nan	nan	88.0	93.0	nan	nan
Travelers Companies Inc., The	St. Paul, MN	93.0	nan	nan	50.0	50.0	nan	nan
Travelport Ltd.	Parsippany, NJ	nan	176.0	nan	100.0	100.0	nan	2010 CEI Rating
Troutman Sanders LLP	Atlanta, GA	nan	nan	75.0	100.0	100.0	nan	nan
U.S. Bancorp	Minneapolis, MN	122.0	nan	nan	100.0	100.0	nan	2009 CEI Rating
U.S. Foodservice Inc.	Rosemont, IL	nan	11.0	nan	58.0	58.0	nan	1a
UAL Corp. (United Airlines)	Chicago, IL	124.0	nan	nan	88.0	88.0	nan	1b
UBS AG	Stamford, CT	nan	nan	nan	100.0	100.0	nan	nan
Unilever	Englewood Cliffs, NJ	nan	nan	nan	100.0	100.0	nan	nan
Union Pacific Corp.	Omaha, NE	154.0	nan	nan	43.0	58.0	nan	nan
Unisys Corp.	Blue Bell, PA	429.0	nan	nan	70.0	70.0	nan	2c
United Business Media LLC	Manhasset, NY	nan	nan	nan	100.0	100.0	nan	3a
United Parcel Service Inc. (UPS)	Atlanta, GA	46.0	nan	nan	100.0	100.0	nan	3b
United Technologies Corp.	Hartford, CT	39.0	nan	nan	80.0	65.0	nan	nan
UnitedHealth Group Inc.	Minnetonka, MN	25.0	nan	nan	100.0	95.0	nan	nan
Unum Group	Chattanooga, TN	251.0	nan	nan	88.0	88.0	nan	nan
US Airways Group Inc.	Tempe, AZ	228.0	nan	nan	100.0	100.0	nan	5
Verizon Communications Inc.	New York, NY	17.0	nan	nan	70.0	70.0	nan	6
Vertis Inc.	Baltimore, MD	nan	nan	nan	30.0	30.0	nan	nan
Viacom Inc.	New York, NY	191.0	nan	nan	100.0	100.0	nan	nan
Vinson & Elkins LLP	Houston, TX	nan	nan	45.0	100.0	100.0	nan	nan
Virgin America	Burlingame, CA	nan	nan	nan	80.0	nan	nan	nan
Visa	San Francisco, CA	nan	nan	nan	100.0	100.0	nan	nan
Vision Service Plan	Rancho Cordova, CA	nan	nan	nan	65.0	65.0	nan	nan
Visteon Corp.	Van Buren Township, MI	234.0	nan	nan	100.0	100.0	nan	nan
Volkswagen of America Inc.	Herndon, VA	nan	nan	nan	100.0	100.0	nan	nan
Vorys, Sater, Seymour & Pease LLP	Columbus, OH	nan	nan	154.0	80.0	80.0	nan	nan
Wachtell, Lipton, Rosen & Katz LLP	New York, NY	nan	nan	48.0	100.0	100.0	nan	nan
Walgreen Co.	Deerfield, IL	40.0	nan	100.0	100.0	nan	nan
Wal-Mart Stores Inc.	Bentonville, AR	1.0	nan	40.0	40.0	nan	nan
Walt Disney Co.	Burbank, CA	67.0	nan	100.0	100.0	+	nan
Waste Management Inc.	Houston, TX	199.0	nan	85.0	85.0	nan	Headquarters
Weil, Gotshal & Manges LLP	New York, NY	nan	10.0	100.0	100.0	nan	nan
WellPoint Inc.	Indianapolis, IN	33.0	nan	95.0	95.0	nan	nan
Wells Fargo & Co.	San Francisco, CA	41.0	nan	100.0	100.0	+	nan
Weyerhaeuser Co.	Federal Way, WA	147.0	nan	70.0	75.0	nan	nan
Whirlpool Corp.	Benton Harbor, MI	127.0	nan	100.0	100.0	nan	nan
White & Case LLP	New York, NY	nan	6.0	100.0	100.0	+	nan
Whole Foods Market Inc.	Austin, TX	369.0	nan	85.0	90.0	nan	nan
Wildman, Harrold, Allen & Dixon LLP	Chicago, IL	nan	nan	80.0	80.0	nan	nan
Williams Companies Inc.	Tulsa, OK	208.0	nan	80.0	55.0	nan	nan
Willkie Farr & Gallagher LLP	New York, NY	nan	44.0	100.0	85.0	nan	nan
Wilmer Cutler Pickering Hale & Dorr	nan	nan	nan	nan	nan	nan	2009 CEI Rating
nan	Washington, DC	nan	17.0	100.0	100.0	nan	nan
LLP	nan	nan	nan	nan	nan	nan	nan
Wilson Sonsini Goodrich & Rosati PC	Palo Alto, CA	nan	52.0	100.0	100.0	nan	nan
Winston & Strawn LLP	Chicago, IL	nan	34.0	100.0	100.0	nan	nan
Wisconsin Energy Corp.	Milwaukee, WI	534.0	nan	55.0	55.0	nan	2a
Womble Carlyle Sandridge & Rice	nan	nan	nan	nan	nan	nan	nan
nan	Winston-Salem, NC	nan	94.0	65.0	65.0	nan	2b
PLLC	nan	nan	nan	nan	nan	nan	nan
WPP Group USA	New York, NY	nan	nan	93.0	93.0	nan	2c
Wyeth	Madison, NJ	113.0	nan	80.0	80.0	nan	3a
Wyndham Worldwide Corp.	Parsippany, NJ	523.0	nan	95.0	100.0	nan	nan
Wynn Resorts Ltd.	Las Vegas, NV	731.0	nan	100.0	nan	nan	nan
Xcel Energy Inc.	Minneapolis, MN	260.0	nan	95.0	60.0	nan	nan
Xerox Corp.	Norwalk, CT	144.0	nan	100.0	100.0	nan	nan
Yahoo! Inc.	Sunnyvale, CA	353.0	nan	100.0	100.0	+	5
YRC Worldwide Inc.	Overland Park, KS	272.0	nan	30.0	30.0	nan	6
Yum! Brands Inc.	Louisville, KY	253.0	nan	65.0	65.0	nan	nan
Zurich North America	Schaumburg, IL	nan	nan	65.0	65.0	nan	nan
